area;nr_of_rooms;tier;parking;year_of_construction;district_id;price
37.000000;2;3;0;2004;2;225000.000000
39.000000;2;0;0;1921;12;470000.000000
136.000000;4;2;0;1937;12;2000000.000000
32.770000;2;3;0;2010;5;250000.000000
30.000000;1;5;0;1975;11;199000.000000
18.000000;1;1;0;1937;12;210000.000000
46.000000;2;1;0;1980;11;275000.000000
55.180000;3;1;0;2014;14;311767.000000
43.000000;2;4;0;1981;9;250000.000000
68.000000;3;3;0;2001;10;470000.000000
117.000000;4;3;1;1980;11;890000.000000
66.000000;3;3;0;2015;8;419000.000000
82.000000;4;3;0;2008;3;545000.000000
23.670000;1;1;0;1980;11;158000.000000
52.080000;2;3;0;1981;9;299000.000000
55.000000;2;4;0;1990;6;255000.000000
51.000000;2;0;0;2008;13;149000.000000
75.000000;3;3;0;2008;3;410520.000000
58.080000;3;2;0;2010;17;479000.000000
38.000000;2;1;0;2010;5;349600.000000
96.180000;4;3;0;1937;12;960000.000000
119.000000;5;0;0;2015;16;761600.000000
47.000000;2;3;0;2008;3;360000.000000
43.000000;2;2;0;2015;8;325000.000000
79.000000;4;1;0;2015;8;631520.000000
59.000000;3;3;0;2008;3;359107.000000
61.000000;3;0;0;2007;14;299000.000000
47.000000;2;3;0;1960;7;225000.000000
37.000000;2;2;1;1970;0;200000.000000
62.000000;3;3;0;2015;8;423453.000000
44.000000;2;3;0;2008;3;330000.000000
56.000000;2;3;0;2001;10;339000.000000
49.000000;2;3;0;1960;7;215000.000000
45.000000;2;10;0;1970;0;215000.000000
48.000000;2;3;0;2009;13;307000.000000
20.000000;1;4;0;1990;6;133000.000000
67.730000;3;0;0;2015;8;399607.000000
98.000000;3;0;0;2008;13;560000.000000
60.760000;3;3;0;2014;13;325000.000000
46.000000;3;5;0;1997;1;385000.000000
48.000000;3;1;0;1980;11;275000.000000
52.100000;2;2;0;2002;8;115000.000000
60.000000;3;4;0;1981;9;266000.000000
52.000000;2;2;1;1997;1;590000.000000
47.000000;3;3;0;2015;8;277000.000000
51.180000;2;1;0;2008;13;282002.000000
96.650000;4;1;0;1997;1;449422.000000
70.640000;3;3;0;2003;11;389000.000000
43.000000;2;3;0;2004;2;389000.000000
59.750000;3;5;0;2007;14;320000.000000
61.400000;4;1;0;1983;14;280000.000000
56.100000;3;3;0;2008;3;339000.000000
62.000000;3;3;0;2015;8;422625.000000
79.400000;4;5;0;2014;9;550000.000000
66.490000;2;3;0;1939;12;660000.000000
48.000000;2;2;0;2007;14;315000.000000
44.000000;2;1;0;2000;13;70000.000000
53.000000;2;3;0;2001;7;280000.000000
52.000000;3;2;1;1997;1;519000.000000
42.000000;2;3;1;2015;4;325000.000000
42.000000;2;3;1;2015;4;325000.000000
57.000000;2;2;1;1997;1;456000.000000
46.830000;2;3;0;2008;13;250400.000000
48.000000;2;3;0;1964;7;220000.000000
84.030000;4;0;0;2007;14;408385.800000
98.480000;5;3;0;2013;12;765000.000000
51.810000;3;5;0;2015;8;425000.000000
41.000000;2;4;0;1990;6;265000.000000
38.000000;1;1;0;2015;8;209440.000000
70.500000;3;3;0;1937;12;570000.000000
51.000000;2;3;0;2004;2;249000.000000
49.500000;2;3;0;2015;4;365000.000000
37.000000;2;3;1;2015;8;218544.000000
40.000000;1;2;0;1998;6;205000.000000
77.000000;3;3;1;2015;4;640000.000000
27.240000;2;2;0;2016;8;177060.000000
53.000000;2;0;0;1937;12;360000.000000
45.080000;3;7;0;2008;11;362000.000000
45.250000;2;1;0;2007;14;285000.000000
60.000000;3;1;0;2001;10;452000.000000
76.000000;3;3;0;1937;12;890000.000000
59.000000;3;3;0;2001;10;349000.000000
34.000000;2;2;0;2005;8;89000.000000
27.000000;3;3;0;1937;12;300000.000000
55.000000;2;3;1;2015;4;415000.000000
70.800000;3;0;0;1937;12;399000.000000
57.230000;2;1;0;1997;1;449000.000000
52.480000;3;3;0;1983;10;288000.000000
84.000000;4;3;0;2004;2;395000.000000
31.000000;2;10;0;1975;9;180000.000000
57.000000;3;0;0;2008;3;378000.000000
30.000000;1;0;0;1930;4;169000.000000
557.000000;4;3;0;2015;8;2370000.000000
32.760000;2;4;0;1980;11;249000.000000
46.480000;2;0;0;2007;14;255640.000000
43.000000;2;2;1;2008;13;195075.000000
98.000000;3;0;0;1936;12;560000.000000
37.000000;2;2;0;2001;10;239000.000000
29.630000;1;6;0;2004;2;210000.000000
37.550000;2;4;0;2015;6;195260.000000
45.000000;2;10;0;1965;4;229000.000000
